FileOpenedAction 1496943604810 TestPlanetExplorer.java 174 1 1 0
RefactoringAction 1496944552673 TestPlanetExplorer.java RENAME test_executeCommand()=>void test_() METHOD
RefactoringAction 1496944554206 TestPlanetExplorer.java RENAME test_()=>void test_map() METHOD
RefactoringAction 1496944557729 TestPlanetExplorer.java RENAME test_map()=>void test_mapFormation() METHOD
EditAction 1496944627639 TestPlanetExplorer.java 196 1 1 0
RefactoringAction 1496944780213 PlanetExplorer.java ADD int x FIELD
RefactoringAction 1496944786750 PlanetExplorer.java ADD int y FIELD
RefactoringAction 1496944801978 PlanetExplorer.java ADD String prepreke FIELD
EditAction 1496944803693 PlanetExplorer.java 1315 2 1 0
EditAction 1496944838832 PlanetExplorer.java 1367 2 4 0
RefactoringAction 1496944884582 PlanetExplorer.java ADD String getF FIELD
RefactoringAction 1496944891112 PlanetExplorer.java RENAME getF=>String getFormatedCoorditates FIELD
RefactoringAction 1496944898137 PlanetExplorer.java RENAME getFormatedCoorditates=>String getFormatedCoorditates() METHOD
RefactoringAction 1496945032383 PlanetExplorer.java ADD String di FIELD
RefactoringAction 1496945034922 PlanetExplorer.java RENAME di=>String direction FIELD
CompilationAction 1496945047784 PlanetExplorer.java
EditAction 1496945078569 TestPlanetExplorer.java 295 1 2 1
